"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"98",9,"Dameon Pierce",FA,"45","105","88.8","20.2"
"99",9,"Eno Benjamin",ARI,"42","96","72.4","20.0"
"100",9,"Jerome Ford",FA,"78","101","92.4","8.3"
"101",9,"Derrick Gore",KC,"84","113","98.1","9.1"
"102",9,"Kene Nwangwu",MIN,"80","106","93.0","8.8"
"103",9,"Tyler Allgeier",FA,"60","104","89.6","15.7"
"104",9,"DeeJay Dallas",SEA,"85","110","97.0","8.3"
"105",9,"Dontrell Hilliard",TEN,"85","107","98.1","6.9"
"106",9,"Tyler Badie",FA,"67","106","89.4","15.6"
"107",9,"Jeremy McNichols",FA,"92","116","100.9","8.9"
"108",9,"Sincere McCormick",FA,"68","105","87.3","13.8"
"109",9,"Kevin Harris",FA,"73","110","92.5","13.9"
"110",9,"Pierre Strong Jr.",FA,"74","116","92.8","16.8"
"111",9,"Jerrion Ealy",FA,"79","105","93.8","10.8"
"112",9,"Kennedy Brooks",FA,"75","108","98.5","13.7"
"113",9,"Kalen Ballage",PIT,"94","118","103.4","9.5"
"114",9,"Abram Smith",FA,"90","112","100.8","9.4"
"115",9,"Zonovan Knight",FA,"83","117","102.0","13.2"
"116",9,"Jalen Richard",FA,"89","115","102.3","12.3"
"117",9,"Ty Montgomery",NE,"88","117","102.5","13.5"
"118",9,"Hassan Haskins",FA,"85","119","105.3","14.7"
"119",9,"D'Vonte Price",FA,"89","120","107.7","13.4"
"120",9,"Max Borghi",FA,"90","122","110.3","14.4"
