"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"102","Quez Watkins",PHI,"90","112","100.8","6.1"
"106","David Bell",FA,"87","121","101.6","10.1"
"113","Laquon Treadwell",JAC,"72","113","101.8","11.4"
"119","Justyn Ross",FA,"84","121","101.8","12.7"
"100","Demarcus Robinson",LV,"92","117","101.8","6.5"
"108","Tyler Johnson",TB,"84","130","102.5","10.6"
"112","John Metchie",FA,"88","117","105.4","8.8"
"110","Wan'dale Robinson",FA,"95","119","105.9","6.0"
"116","Jalen Guyton",LAC,"97","119","106.0","9.2"
"127","Deonte Harris",NO,"87","125","106.0","19.0"
"115","Anthony Schwartz",CLE,"95","117","107.0","8.2"
"128","Cyril Grayson Jr.",TB,"82","132","107.0","25.0"
"118","Jalen Tolbert",FA,"98","122","107.8","8.2"
"130","Amari Rodgers",GB,"92","126","109.0","17.0"
"114","D'Wayne Eskridge",SEA,"95","126","109.9","9.8"
"117","James Washington",DAL,"93","123","111.6","10.8"
"122","Sammy Watkins",BAL,"110","119","113.6","3.1"
"120","Jamal Agnew",JAC,"103","120","113.7","6.3"
"124","Khalil Shakir",FA,"103","128","114.0","9.0"
"125","Anthony Miller",PIT,"94","130","114.0","15.0"
"121","Zach Pascal",PHI,"103","124","115.0","6.3"
"129","Denzel Mims",NYJ,"113","127","118.0","6.4"
"123","DeSean Jackson",LV,"105","132","118.2","9.4"
"132","Shi Smith",CAR,"104","133","118.5","14.5"
"133","Adam Humphries",WAS,"111","129","120.0","9.0"
"134","Jaelon Darden",TB,"114","131","122.5","8.5"
"135","Nick Westbrook-Ikhine",TEN,"123","124","123.5","0.5"
"136","Kalif Raymond",DET,"124","125","124.5","0.5"
"126","Calvin Austin III",FA,"114","140","125.2","9.7"
"137","Chris Conley",HOU,"117","134","125.5","8.5"
"131","Bo Melton",FA,"110","138","126.5","11.7"
"138","Jauan Jennings",SF,"126","127","126.5","0.5"
"139","Alec Pierce",FA,"118","138","128.0","10.0"
"140","N'Keal Harry",NE,"121","135","128.0","7.0"
"141","Freddie Swain",SEA,"120","137","128.5","8.5"
"142","Mohamed Sanu Sr.",SF,"125","136","130.5","5.5"
"143","Isaiah Ford",MIA,"128","139","133.5","5.5"
