Player,Tm,Age,Pos,G,GS,FGA0_19,FGM0_19,FGA20_29,FGM20_29,FGA30_39,FGM30_39,FGA40_49,FGM40_49,FGA50plus,FGM50plus,FGA,FGM,LngFG,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,LngPnt,Blck,Y/P
Jordan Berry,MIN,30,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,78,3624,64,0,46.5
Michael Palardy,MIA,29,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,58,0,0.0,58.0,78,3489,65,0,44.7
Riley Dixon,NYG,28,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5,102,0,0.0,20.4,74,3283,63,0,44.4
Sam Koch,BAL,39,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,71,3149,61,0,44.4
Pressley Harvin III,PIT,23,p,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,101,0,0.0,50.5,70,2982,64,0,42.6
Sam Martin,DEN,31,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,67,3083,68,0,46.0
Kevin Huber,CIN,36,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,66,3064,61,0,46.4
Bryan Anger,DAL,33,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,65,3143,63,0,48.4
Jack Fox,DET,25,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,35,2209,19,54.3,63.1,65,3198,70,0,49.2
AJ Cole III,LVR,26,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,64,3202,71,0,50.0
Logan Cooke,JAX,26,p,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,21,1289,9,42.9,61.4,64,3026,68,0,47.3
Pat O'Donnell,CHI,30,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,62,2865,72,0,46.2
Tress Way,WAS,31,p,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,124,0,0.0,62.0,60,2901,66,0,48.4
Rigoberto Sanchez,IND,27,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,89,5687,44,49.4,63.9,59,2627,79,0,44.5
Arryn Siposs,PHI,29,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,58,0,0.0,58.0,55,2416,68,0,43.9
Corey Bojorquez,GNB,25,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,53,2467,82,0,46.5
Matt Haack,BUF,27,p,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,53,0,0.0,53.0,52,2230,63,1,42.9
